M,C,minority_run,minority_win,white_run,state,state.lower,year,phase,sl_chamber,sl_district,group,white_pct,unusual,south,deepsouth,rimsouth,section5,litigated,proper
22.505443688688352,22.646835901886,1,0,1,OH,oh,2012,1,9,43,Black,74.7377439942002,0,0,0,0,0,0,1
79.00621837704222,45.976949240668105,1,1,0,OH,oh,2012,4,9,44,Black,45.8469637557139,0,0,0,0,0,0,1
17.392333175579743,15.6908588347117,0,0,1,OH,oh,2012,2,9,49,Black,80.0450120724126,0,0,0,0,0,0,1
18.713323552947454,11.1862786111277,0,0,1,OH,oh,2012,1,9,64,Black,86.22362995278789,0,0,0,0,0,0,1
7.009656566731401,50.762572135202,0,0,1,OH,oh,2012,2,9,8,Black,45.025382913177395,0,0,0,0,0,0,1
86.13890913910795,51.6125189517002,1,1,0,OH,oh,2012,3,9,9,Black,41.9720597790773,0,0,0,0,0,0,1
21.8551257949682,11.1275409613162,0,0,1,OK,ok,2012,6,8,31,Black,71.3134815419131,0,1,0,1,0,0,1
20.187938868236266,12.5067585834009,0,0,1,OK,ok,2012,6,9,71,Black,67.5419032170857,0,1,0,1,0,0,1
50,60.7884823393383,1,1,0,OK,ok,2012,6,9,73,Black,23.6507403677595,0,1,0,1,0,0,1
100,16.922058267120697,0,0,1,OR,or,2012,5,9,43,Black,69.10896708286039,0,0,0,0,0,0,1
93.00301305657851,61.7543703571905,1,1,0,PA,pa,2012,6,9,186,Black,22.9949735332058,0,0,0,0,0,0,1
100,44.757821253124206,1,1,0,PA,pa,2012,3,9,19,Black,48.9808670171507,0,0,0,0,0,0,1
100,91.6932136306593,1,1,0,PA,pa,2012,2,9,190,Black,4.18476686938894,0,0,0,0,0,0,1
100,83.5075215841963,1,1,0,PA,pa,2012,2,9,192,Black,11.5227321646378,0,0,0,0,0,0,1
20.368204099821746,13.5685895605964,0,0,1,PA,pa,2012,2,9,20,Black,82.4545993543995,0,0,0,0,0,0,1
100,62.1198480490108,1,1,0,PA,pa,2012,3,9,200,Black,32.4103555038317,0,0,0,0,0,0,1
97.78340394750438,85.3405146618791,1,1,0,PA,pa,2012,2,9,201,Black,10.195092758827,0,0,0,0,0,0,1
100,61.2414173307272,1,1,0,PA,pa,2012,3,9,24,Black,33.4235453315291,0,0,0,0,0,0,1
12.000657030223387,11.5394080404483,0,0,1,PA,pa,2012,2,9,27,Black,84.0801807646704,0,0,0,0,0,0,1
0,24.1215323645971,0,0,1,PA,pa,2012,2,9,32,Black,72.626596213122,0,0,0,0,0,0,1
0,19.8174532502226,0,0,1,PA,pa,2012,2,9,34,Black,76.4425645592164,0,0,0,0,0,0,1
0,20.0935788013449,0,0,1,PA,pa,2012,2,9,35,Black,76.5512214619924,0,0,0,0,0,0,1
0,11.3278362240546,0,0,1,PA,pa,2012,2,8,45,Black,85.4415695194768,0,0,0,0,0,0,1
14.013131936505367,11.503243983254299,0,0,1,PA,pa,2012,6,8,5,Black,73.19745639967459,0,0,0,0,0,0,1
50,11.7250673854447,0,0,1,RI,ri,2012,6,9,5,Black,68.6068059299191,0,0,0,0,0,0,1
51.42418359363681,33.302285398021,1,1,1,SC,sc,2012,3,8,10,Black,60.1978968398602,0,1,1,0,1,0,1
67.08886829368757,58.66609723111969,1,1,0,SC,sc,2012,2,9,101,Black,38.294540536693,0,1,1,0,1,0,1
58.551859099804304,51.716613821554006,1,1,1,SC,sc,2012,2,9,102,Black,45.2729194367734,0,1,1,0,1,0,1
100,51.60612981654759,1,1,0,SC,sc,2012,2,9,103,Black,44.9716348633316,0,1,1,0,1,0,1
24.009286941034286,16.5818278603986,0,0,1,SC,sc,2012,2,9,108,Black,79.954752636657,0,1,1,0,1,0,1
0,24.1430966223205,0,0,1,SC,sc,2012,1,9,11,Black,72.9678638941399,0,1,1,0,1,0,1
